malayalam_words,english_words,semantic_meaning
ഐഡി,std_id,attribute
id,std_id,attribute
ID,std_id,attribute
Id,std_id,attribute
പേര്,mname,attribute
നാമം,mname,attribute
വർഷം,acyear,attribute
അദ്ധ്യയനവർഷം,acyear,attribute
ഫോൺ,contact,attribute
കോണ്ടാക്ട്,contact,attribute
നംബർ,contact,attribute
address,location,attribute
അഡ്രെസ്സ്,location,attribute
സ്ഥലം,location,attribute
വീട്,location,attribute
ജില്ല,location,attribute
സ്വദേശം,location,attribute
ഡിപാർട്ട്മെൻറ്,department,attribute
വിഭാഗം,department,attribute
വകുപ്പ്,department,attribute